時間,数値
2024/03/21 10:41:32,-0.10,
2024/03/21 10:41:33,0.00,
2024/03/21 10:41:33,-0.12,
2024/03/21 10:41:33,0.00,
2024/03/21 10:41:33,-0.12,
2024/03/21 10:41:33,0.15,
2024/03/21 10:41:34,-0.10,
2024/03/21 10:41:34,0.00,
2024/03/21 10:41:34,-0.12,
2024/03/21 10:41:34,0.00,
2024/03/21 10:41:35,-0.12,
2024/03/21 10:41:35,0.00,
2024/03/21 10:41:35,-0.12,
2024/03/21 10:41:35,0.00,
2024/03/21 10:41:36,-0.12,
2024/03/21 10:41:36,0.00,
2024/03/21 10:41:36,-0.12,
2024/03/21 10:41:36,0.00,
2024/03/21 10:41:37,-0.12,
2024/03/21 10:41:37,0.00,
2024/03/21 10:41:37,-0.12,
2024/03/21 10:41:37,0.20,
2024/03/21 10:41:39,-0.09,
2024/03/21 10:41:39,0.00,
2024/03/21 10:41:39,-0.12,
2024/03/21 10:41:39,0.16,
2024/03/21 10:41:39,-0.10,
2024/03/21 10:41:39,0.00,
2024/03/21 10:41:39,-0.12,
2024/03/21 10:41:39,0.28,
2024/03/21 10:41:40,-0.08,
2024/03/21 10:41:40,0.02,
2024/03/21 10:41:40,-0.12,
2024/03/21 10:41:40,0.00,
2024/03/21 10:41:41,-0.12,
2024/03/21 10:41:41,0.00,
2024/03/21 10:41:41,-0.12,
2024/03/21 10:41:41,0.00,
2024/03/21 10:41:42,-0.12,
2024/03/21 10:41:42,0.10,
2024/03/21 10:41:42,-0.11,
2024/03/21 10:41:43,0.00,
2024/03/21 10:41:43,-0.12,
2024/03/21 10:41:43,0.08,
2024/03/21 10:41:43,-0.11,
2024/03/21 10:41:43,0.11,
2024/03/21 10:41:44,-0.11,
2024/03/21 10:41:44,0.00,
2024/03/21 10:41:44,-0.12,
2024/03/21 10:41:45,0.17,
2024/03/21 10:41:45,-0.09,
2024/03/21 10:41:45,0.00,
2024/03/21 10:41:45,-0.12,
2024/03/21 10:41:46,0.00,
2024/03/21 10:41:46,-0.12,
2024/03/21 10:41:46,0.00,
2024/03/21 10:41:47,-0.12,
2024/03/21 10:41:47,0.18,
2024/03/21 10:41:47,-0.09,
2024/03/21 10:41:47,0.30,
2024/03/21 10:41:48,-0.07,
2024/03/21 10:41:48,0.00,
2024/03/21 10:41:48,-0.12,
2024/03/21 10:41:48,0.07,
2024/03/21 10:41:49,-0.11,
2024/03/21 10:41:49,0.00,
2024/03/21 10:41:49,-0.12,
2024/03/21 10:41:49,0.00,
2024/03/21 10:41:50,-0.12,
2024/03/21 10:41:50,0.00,
2024/03/21 10:41:50,-0.12,
2024/03/21 10:41:50,0.00,
2024/03/21 10:41:51,-0.12,
2024/03/21 10:41:51,0.03,
2024/03/21 10:41:51,-0.12,
2024/03/21 10:41:51,0.00,
2024/03/21 10:41:52,-0.12,
2024/03/21 10:41:52,0.00,
2024/03/21 10:41:52,-0.12,
2024/03/21 10:41:52,0.03,
2024/03/21 10:41:53,-0.12,
2024/03/21 10:41:53,0.03,
2024/03/21 10:41:53,-0.12,
2024/03/21 10:41:53,0.00,
2024/03/21 10:41:54,-0.12,
2024/03/21 10:41:54,0.00,
2024/03/21 10:41:54,-0.12,
2024/03/21 10:41:54,0.23,
2024/03/21 10:41:55,-0.08,
2024/03/21 10:41:55,0.00,
2024/03/21 10:41:55,-0.12,
2024/03/21 10:41:55,0.18,
2024/03/21 10:41:56,-0.09,
2024/03/21 10:41:56,0.10,
2024/03/21 10:41:56,-0.11,
2024/03/21 10:41:56,0.26,
2024/03/21 10:41:57,-0.08,
2024/03/21 10:41:57,0.00,
2024/03/21 10:41:57,-0.12,
2024/03/21 10:41:57,0.00,
2024/03/21 10:41:58,-0.12,
2024/03/21 10:41:58,0.06,
2024/03/21 10:41:58,-0.11,
2024/03/21 10:41:58,0.09,
2024/03/21 10:41:59,-0.11,
