time,value
2024/03/22 06:53:50,-0.12,
2024/03/22 06:53:50,0.00,
2024/03/22 06:53:50,-0.12,
2024/03/22 06:53:50,0.00,
2024/03/22 06:53:51,-0.12,
2024/03/22 06:53:51,0.01,
2024/03/22 06:53:51,-0.12,
2024/03/22 06:53:51,0.00,
2024/03/22 06:53:52,-0.12,
2024/03/22 06:53:52,0.00,
2024/03/22 06:53:52,-0.12,
2024/03/22 06:53:52,0.00,
2024/03/22 06:53:53,-0.12,
2024/03/22 06:53:53,0.00,
2024/03/22 06:53:53,-0.12,
2024/03/22 06:53:53,0.00,
2024/03/22 06:53:54,-0.12,
2024/03/22 06:53:54,0.00,
2024/03/22 06:53:54,-0.12,
2024/03/22 06:53:54,0.05,
2024/03/22 06:53:55,-0.12,
2024/03/22 06:53:55,0.00,
2024/03/22 06:53:55,-0.12,
2024/03/22 06:53:55,0.00,
2024/03/22 06:53:56,-0.12,
2024/03/22 06:53:56,0.00,
2024/03/22 06:53:56,-0.12,
2024/03/22 06:53:56,0.00,
2024/03/22 06:53:57,-0.12,
2024/03/22 06:53:57,0.00,
2024/03/22 06:53:57,-0.12,
2024/03/22 06:53:58,0.00,
2024/03/22 06:53:58,-0.12,
2024/03/22 06:53:58,0.00,
2024/03/22 06:53:58,-0.12,
2024/03/22 06:53:59,0.00,
2024/03/22 06:53:59,-0.12,
2024/03/22 06:53:59,0.00,
2024/03/22 06:54:00,-0.12,
2024/03/22 06:54:00,0.00,
2024/03/22 06:54:00,-0.12,
2024/03/22 06:54:00,0.00,
2024/03/22 06:54:01,-0.12,
2024/03/22 06:54:01,0.00,
2024/03/22 06:54:01,-0.12,
2024/03/22 06:54:01,0.21,
2024/03/22 06:54:02,-0.09,
2024/03/22 06:54:02,0.00,
2024/03/22 06:54:02,-0.12,
2024/03/22 06:54:02,0.00,
2024/03/22 06:54:03,-0.12,
2024/03/22 06:54:03,0.00,
2024/03/22 06:54:03,-0.12,
2024/03/22 06:54:03,0.00,
2024/03/22 06:54:04,-0.12,
2024/03/22 06:54:04,0.00,
2024/03/22 06:54:04,-0.12,
2024/03/22 06:54:04,0.00,
2024/03/22 06:54:05,-0.12,
2024/03/22 06:54:05,0.00,
2024/03/22 06:54:05,-0.12,
2024/03/22 06:54:05,0.05,
2024/03/22 06:54:06,-0.12,
2024/03/22 06:54:06,0.04,
2024/03/22 06:54:06,-0.12,
2024/03/22 06:54:06,0.19,
2024/03/22 06:54:07,-0.09,
2024/03/22 06:54:07,0.03,
2024/03/22 06:54:07,-0.12,
2024/03/22 06:54:07,0.00,
2024/03/22 06:54:08,-0.12,
2024/03/22 06:54:08,0.00,
2024/03/22 06:54:08,-0.12,
2024/03/22 06:54:08,0.00,
2024/03/22 06:54:09,-0.12,
2024/03/22 06:54:09,0.00,
2024/03/22 06:54:09,-0.12,
2024/03/22 06:54:09,0.00,
2024/03/22 06:54:10,-0.12,
2024/03/22 06:54:10,0.00,
2024/03/22 06:54:10,-0.12,
2024/03/22 06:54:10,0.02,
2024/03/22 06:54:11,-0.12,
2024/03/22 06:54:11,0.00,
2024/03/22 06:54:11,-0.12,
2024/03/22 06:54:11,0.00,
2024/03/22 06:54:12,-0.12,
2024/03/22 06:54:12,0.02,
2024/03/22 06:54:12,-0.12,
2024/03/22 06:54:12,0.01,
2024/03/22 06:54:13,-0.12,
2024/03/22 06:54:13,0.00,
2024/03/22 06:54:13,-0.12,
2024/03/22 06:54:13,0.00,
2024/03/22 06:54:14,-0.12,
2024/03/22 06:54:14,0.00,
2024/03/22 06:54:14,-0.12,
2024/03/22 06:54:14,0.00,
2024/03/22 06:54:15,-0.12,
2024/03/22 06:54:15,0.00,
2024/03/22 06:54:15,-0.12,
2024/03/22 06:54:15,0.00,
2024/03/22 06:54:16,-0.12,
2024/03/22 06:54:16,0.00,
2024/03/22 06:54:16,-0.12,
2024/03/22 06:54:16,0.00,
2024/03/22 06:54:17,-0.12,
2024/03/22 06:54:17,0.00,
2024/03/22 06:54:17,-0.12,
2024/03/22 06:54:17,0.02,
2024/03/22 06:54:18,-0.12,
2024/03/22 06:54:18,0.00,
2024/03/22 06:54:18,-0.12,
2024/03/22 06:54:18,0.00,
2024/03/22 06:54:19,-0.12,
2024/03/22 06:54:19,0.00,
2024/03/22 06:54:19,-0.12,
2024/03/22 06:54:19,0.00,
2024/03/22 06:54:20,-0.12,
2024/03/22 06:54:20,0.00,
2024/03/22 06:54:20,-0.12,
2024/03/22 06:54:21,0.00,
2024/03/22 06:54:21,-0.12,
2024/03/22 06:54:21,0.00,
2024/03/22 06:54:21,-0.12,
2024/03/22 06:54:22,0.00,
2024/03/22 06:54:22,-0.12,
2024/03/22 06:54:23,0.00,
2024/03/22 06:54:23,-0.12,
2024/03/22 06:54:23,0.01,
2024/03/22 06:54:23,-0.12,
2024/03/22 06:54:23,0.05,
2024/03/22 06:54:24,-0.12,
2024/03/22 06:54:24,0.00,
2024/03/22 06:54:24,-0.12,
2024/03/22 06:54:24,0.08,
2024/03/22 06:54:25,-0.11,
2024/03/22 06:54:25,0.00,
2024/03/22 06:54:25,-0.12,
2024/03/22 06:54:25,0.00,
2024/03/22 06:54:26,-0.12,
2024/03/22 06:54:26,0.00,
2024/03/22 06:54:26,-0.12,
2024/03/22 06:54:26,0.07,
2024/03/22 06:54:27,-0.11,
2024/03/22 06:54:27,0.00,
2024/03/22 06:54:27,-0.12,
2024/03/22 06:54:28,0.00,
2024/03/22 06:54:28,-0.12,
2024/03/22 06:54:28,0.00,
2024/03/22 06:54:28,-0.12,
2024/03/22 06:54:28,0.01,
2024/03/22 06:54:29,-0.12,
2024/03/22 06:54:29,0.00,
2024/03/22 06:54:29,-0.12,
2024/03/22 06:54:29,0.00,
2024/03/22 06:54:30,-0.12,
2024/03/22 06:54:30,0.00,
2024/03/22 06:54:30,-0.12,
2024/03/22 06:54:30,0.00,
2024/03/22 06:54:31,-0.12,
2024/03/22 06:54:31,0.00,
2024/03/22 06:54:31,-0.12,
2024/03/22 06:54:31,0.00,
2024/03/22 06:54:32,-0.12,
2024/03/22 06:54:32,0.00,
2024/03/22 06:54:32,-0.12,
2024/03/22 06:54:32,0.00,
2024/03/22 06:54:33,-0.12,
2024/03/22 06:54:33,0.00,
2024/03/22 06:54:33,-0.12,
2024/03/22 06:54:33,0.00,
2024/03/22 06:54:34,-0.12,
2024/03/22 06:54:34,0.01,
2024/03/22 06:54:34,-0.12,
2024/03/22 06:54:34,0.00,
2024/03/22 06:54:35,-0.12,
2024/03/22 06:54:35,0.07,
2024/03/22 06:54:35,-0.11,
2024/03/22 06:54:35,0.05,
2024/03/22 06:54:36,-0.12,
2024/03/22 06:54:36,0.00,
2024/03/22 06:54:36,-0.12,
2024/03/22 06:54:36,0.00,
2024/03/22 06:54:37,-0.12,
2024/03/22 06:54:37,0.00,
2024/03/22 06:54:37,-0.12,
2024/03/22 06:54:37,0.18,
2024/03/22 06:54:38,-0.09,
2024/03/22 06:54:38,0.00,
2024/03/22 06:54:38,-0.12,
2024/03/22 06:54:38,0.00,
2024/03/22 06:54:39,-0.12,
2024/03/22 06:54:39,0.00,
2024/03/22 06:54:39,-0.12,
2024/03/22 06:54:39,0.00,
2024/03/22 06:54:40,-0.12,
2024/03/22 06:54:40,0.00,
2024/03/22 06:54:40,-0.12,
2024/03/22 06:54:40,0.14,
2024/03/22 06:54:41,-0.10,
2024/03/22 06:54:41,0.00,
2024/03/22 06:54:41,-0.12,
2024/03/22 06:54:41,0.00,
2024/03/22 06:54:42,-0.12,
2024/03/22 06:54:42,0.00,
2024/03/22 06:54:42,-0.12,
2024/03/22 06:54:42,0.00,
2024/03/22 06:54:43,-0.12,
2024/03/22 06:54:43,0.00,
2024/03/22 06:54:43,-0.12,
2024/03/22 06:54:44,0.01,
2024/03/22 06:54:44,-0.12,
2024/03/22 06:54:44,0.00,
2024/03/22 06:54:44,-0.12,
2024/03/22 06:54:45,0.00,
2024/03/22 06:54:45,-0.12,
2024/03/22 06:54:45,0.00,
2024/03/22 06:54:46,-0.12,
2024/03/22 06:54:46,0.00,
2024/03/22 06:54:46,-0.12,
2024/03/22 06:54:46,0.00,
2024/03/22 06:54:47,-0.12,
2024/03/22 06:54:47,0.06,
2024/03/22 06:54:47,-0.11,
2024/03/22 06:54:47,0.00,
2024/03/22 06:54:48,-0.12,
2024/03/22 06:54:48,0.00,
2024/03/22 06:54:48,-0.12,
2024/03/22 06:54:48,0.00,
2024/03/22 06:54:49,-0.12,
2024/03/22 06:54:49,0.00,
2024/03/22 06:54:49,-0.12,
2024/03/22 06:54:49,0.01,
2024/03/22 06:54:50,-0.12,
2024/03/22 06:54:50,0.00,
2024/03/22 06:54:50,-0.12,
2024/03/22 06:54:50,0.00,
2024/03/22 06:54:51,-0.12,
2024/03/22 06:54:51,0.00,
2024/03/22 06:54:51,-0.12,
2024/03/22 06:54:51,0.06,
2024/03/22 06:54:52,-0.11,
2024/03/22 06:54:52,0.00,
2024/03/22 06:54:52,-0.12,
2024/03/22 06:54:52,0.00,
2024/03/22 06:54:53,-0.12,
2024/03/22 06:54:53,0.01,
2024/03/22 06:54:53,-0.12,
2024/03/22 06:54:53,0.00,
2024/03/22 06:54:54,-0.12,
2024/03/22 06:54:54,0.07,
2024/03/22 06:54:54,-0.11,
2024/03/22 06:54:54,0.00,
2024/03/22 06:54:55,-0.12,
2024/03/22 06:54:55,0.00,
2024/03/22 06:54:55,-0.12,
2024/03/22 06:54:55,0.00,
2024/03/22 06:54:56,-0.12,
2024/03/22 06:54:56,0.00,
2024/03/22 06:54:56,-0.12,
2024/03/22 06:54:56,0.00,
2024/03/22 06:54:57,-0.12,
2024/03/22 06:54:57,0.00,
2024/03/22 06:54:57,-0.12,
2024/03/22 06:54:57,0.00,
2024/03/22 06:54:58,-0.12,
2024/03/22 06:54:58,0.00,
2024/03/22 06:54:58,-0.12,
2024/03/22 06:54:58,0.00,
2024/03/22 06:54:59,-0.12,
2024/03/22 06:54:59,0.00,
2024/03/22 06:54:59,-0.12,
2024/03/22 06:54:59,0.01,
2024/03/22 06:55:00,-0.12,
2024/03/22 06:55:00,0.00,
2024/03/22 06:55:00,-0.12,
2024/03/22 06:55:00,0.00,
2024/03/22 06:55:01,-0.12,
2024/03/22 06:55:01,0.00,
2024/03/22 06:55:01,-0.12,
2024/03/22 06:55:01,0.00,
2024/03/22 06:55:02,-0.12,
2024/03/22 06:55:02,0.00,
2024/03/22 06:55:02,-0.12,
